2026-03-14 22:29:47 | INFO     | src.database.redis_pool:initialize:52 - Redis连接池初始化成功，pool_size=10
2026-03-14 22:29:47 | INFO     | src.main:lifespan:65 - Redis连接池初始化成功
2026-03-14 22:29:47 | INFO     | src.main:lifespan:70 - Enterprise Security Assistant 已成功启动
2026-03-14 22:29:47 | INFO     | src.main:lifespan:52 - Enterprise Security Assistant v1.0.0 正在启动...
2026-03-14 22:29:47 | INFO     | src.database.db_pool:initialize:49 - 数据库连接池初始化成功，pool_size=10, max_overflow=20
2026-03-14 22:29:47 | INFO     | src.main:lifespan:57 - 数据库连接池初始化成功
2026-03-14 22:29:47 | INFO     | src.database.redis_pool:initialize:52 - Redis连接池初始化成功，pool_size=10
2026-03-14 22:29:47 | INFO     | src.main:lifespan:65 - Redis连接池初始化成功
2026-03-14 22:29:47 | INFO     | src.main:lifespan:70 - Enterprise Security Assistant 已成功启动
2026-03-14 22:29:48 | INFO     | src.main:lifespan:75 - Enterprise Security Assistant 正在关闭...
2026-03-14 22:29:48 | INFO     | src.database.redis_pool:close:71 - Redis连接池已关闭
2026-03-14 22:29:48 | INFO     | src.main:lifespan:80 - Redis连接池已关闭
2026-03-14 22:29:48 | ERROR    | src.database.db_pool:close:70 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-03-14 22:29:48 | ERROR    | src.main:lifespan:89 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-03-14 22:29:48 | INFO     | src.main:lifespan:91 - Enterprise Security Assistant 已关闭
2026-03-14 22:29:49 | INFO     | src.main:lifespan:52 - Enterprise Security Assistant v1.0.0 正在启动...
2026-03-14 22:29:49 | INFO     | src.database.db_pool:initialize:49 - 数据库连接池初始化成功，pool_size=10, max_overflow=20
2026-03-14 22:29:49 | INFO     | src.main:lifespan:57 - 数据库连接池初始化成功
2026-03-14 22:29:49 | INFO     | src.database.redis_pool:initialize:52 - Redis连接池初始化成功，pool_size=10
2026-03-14 22:29:49 | INFO     | src.main:lifespan:65 - Redis连接池初始化成功
2026-03-14 22:29:49 | INFO     | src.main:lifespan:70 - Enterprise Security Assistant 已成功启动
2026-03-14 22:29:49 | INFO     | src.main:lifespan:52 - Enterprise Security Assistant v1.0.0 正在启动...
2026-03-14 22:29:49 | INFO     | src.database.db_pool:initialize:49 - 数据库连接池初始化成功，pool_size=10, max_overflow=20
2026-03-14 22:29:49 | INFO     | src.main:lifespan:57 - 数据库连接池初始化成功
2026-03-14 22:29:49 | INFO     | src.database.redis_pool:initialize:52 - Redis连接池初始化成功，pool_size=10
2026-03-14 22:29:49 | INFO     | src.main:lifespan:65 - Redis连接池初始化成功
2026-03-14 22:29:49 | INFO     | src.main:lifespan:70 - Enterprise Security Assistant 已成功启动
2026-03-14 22:29:50 | INFO     | src.main:lifespan:75 - Enterprise Security Assistant 正在关闭...
2026-03-14 22:29:50 | INFO     | src.database.redis_pool:close:71 - Redis连接池已关闭
2026-03-14 22:29:50 | INFO     | src.main:lifespan:80 - Redis连接池已关闭
2026-03-14 22:29:50 | ERROR    | src.database.db_pool:close:70 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-03-14 22:29:50 | ERROR    | src.main:lifespan:89 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-03-14 22:29:50 | INFO     | src.main:lifespan:91 - Enterprise Security Assistant 已关闭
2026-03-14 22:29:50 | INFO     | src.main:lifespan:52 - Enterprise Security Assistant v1.0.0 正在启动...
2026-03-14 22:29:50 | INFO     | src.database.db_pool:initialize:49 - 数据库连接池初始化成功，pool_size=10, max_overflow=20
2026-03-14 22:29:50 | INFO     | src.main:lifespan:57 - 数据库连接池初始化成功
2026-03-14 22:29:50 | INFO     | src.database.redis_pool:initialize:52 - Redis连接池初始化成功，pool_size=10
2026-03-14 22:29:50 | INFO     | src.main:lifespan:65 - Redis连接池初始化成功
2026-03-14 22:29:50 | INFO     | src.main:lifespan:70 - Enterprise Security Assistant 已成功启动
2026-03-14 22:29:50 | INFO     | src.main:lifespan:52 - Enterprise Security Assistant v1.0.0 正在启动...
2026-03-14 22:29:50 | INFO     | src.database.db_pool:initialize:49 - 数据库连接池初始化成功，pool_size=10, max_overflow=20
2026-03-14 22:29:50 | INFO     | src.main:lifespan:57 - 数据库连接池初始化成功
2026-03-14 22:29:50 | INFO     | src.database.redis_pool:initialize:52 - Redis连接池初始化成功，pool_size=10
2026-03-14 22:29:50 | INFO     | src.main:lifespan:65 - Redis连接池初始化成功
2026-03-14 22:29:50 | INFO     | src.main:lifespan:70 - Enterprise Security Assistant 已成功启动
2026-03-14 22:30:11 | INFO     | src.main:lifespan:75 - Enterprise Security Assistant 正在关闭...
2026-03-14 22:30:11 | INFO     | src.database.redis_pool:close:71 - Redis连接池已关闭
2026-03-14 22:30:11 | INFO     | src.main:lifespan:80 - Redis连接池已关闭
2026-03-14 22:30:11 | ERROR    | src.database.db_pool:close:70 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-03-14 22:30:11 | ERROR    | src.main:lifespan:89 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-03-14 22:30:11 | INFO     | src.main:lifespan:91 - Enterprise Security Assistant 已关闭
2026-03-14 22:32:15 | INFO     | src.main:lifespan:72 - Enterprise Security Assistant v1.0.0 正在启动...
2026-03-14 22:32:15 | INFO     | src.database.db_pool:initialize:49 - 数据库连接池初始化成功，pool_size=10, max_overflow=20
2026-03-14 22:32:15 | INFO     | src.main:lifespan:77 - 数据库连接池初始化成功
2026-03-14 22:32:15 | INFO     | src.database.redis_pool:initialize:52 - Redis连接池初始化成功，pool_size=10
2026-03-14 22:32:15 | INFO     | src.main:lifespan:85 - Redis连接池初始化成功
2026-03-14 22:32:15 | INFO     | src.main:lifespan:90 - Enterprise Security Assistant 已成功启动
2026-03-14 22:34:00 | INFO     | src.main:lifespan:72 - Enterprise Security Assistant v1.0.0 正在启动...
2026-03-14 22:34:00 | INFO     | src.database.db_pool:initialize:49 - 数据库连接池初始化成功，pool_size=10, max_overflow=20
2026-03-14 22:34:00 | INFO     | src.main:lifespan:77 - 数据库连接池初始化成功
2026-03-14 22:34:00 | INFO     | src.database.redis_pool:initialize:52 - Redis连接池初始化成功，pool_size=10
2026-03-14 22:34:00 | INFO     | src.main:lifespan:85 - Redis连接池初始化成功
2026-03-14 22:34:00 | INFO     | src.main:lifespan:90 - Enterprise Security Assistant 已成功启动
2026-04-06 09:31:29 | INFO     | src.main:lifespan:95 - Enterprise Security Assistant 正在关闭...
2026-04-06 09:31:29 | INFO     | src.database.redis_pool:close:71 - Redis连接池已关闭
2026-04-06 09:31:29 | INFO     | src.main:lifespan:100 - Redis连接池已关闭
2026-04-06 09:31:29 | ERROR    | src.database.db_pool:close:70 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-04-06 09:31:29 | ERROR    | src.main:lifespan:109 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-04-06 09:31:29 | INFO     | src.main:lifespan:111 - Enterprise Security Assistant 已关闭
2026-04-06 09:31:34 | INFO     | src.main:lifespan:72 - Enterprise Security Assistant v1.0.0 正在启动...
2026-04-06 09:31:34 | INFO     | src.database.db_pool:initialize:49 - 数据库连接池初始化成功，pool_size=10, max_overflow=20
2026-04-06 09:31:34 | INFO     | src.main:lifespan:77 - 数据库连接池初始化成功
2026-04-06 09:31:34 | INFO     | src.database.redis_pool:initialize:52 - Redis连接池初始化成功，pool_size=10
2026-04-06 09:31:34 | INFO     | src.main:lifespan:85 - Redis连接池初始化成功
2026-04-06 09:31:34 | INFO     | src.main:lifespan:90 - Enterprise Security Assistant 已成功启动
2026-04-06 09:39:13 | INFO     | src.main:lifespan:95 - Enterprise Security Assistant 正在关闭...
2026-04-06 09:39:13 | INFO     | src.database.redis_pool:close:71 - Redis连接池已关闭
2026-04-06 09:39:13 | INFO     | src.main:lifespan:100 - Redis连接池已关闭
2026-04-06 09:39:13 | ERROR    | src.database.db_pool:close:70 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-04-06 09:39:13 | ERROR    | src.main:lifespan:109 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-04-06 09:39:13 | INFO     | src.main:lifespan:111 - Enterprise Security Assistant 已关闭
2026-04-06 09:39:13 | INFO     | src.main:lifespan:95 - Enterprise Security Assistant 正在关闭...
2026-04-06 09:39:13 | INFO     | src.database.redis_pool:close:71 - Redis连接池已关闭
2026-04-06 09:39:13 | INFO     | src.main:lifespan:100 - Redis连接池已关闭
2026-04-06 09:39:13 | ERROR    | src.database.db_pool:close:70 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-04-06 09:39:13 | ERROR    | src.main:lifespan:109 - 关闭数据库连接池失败: the greenlet library is required to use this function. No module named 'greenlet'
2026-04-06 09:39:13 | INFO     | src.main:lifespan:111 - Enterprise Security Assistant 已关闭
2026-04-06 09:39:13 | INFO     | src.main:lifespan:75 - Enterprise Security Assistant v1.0.0 正在启动...
2026-04-06 09:39:13 | INFO     | src.database.db_pool:initialize:49 - 数据库连接池初始化成功，pool_size=10, max_overflow=20
2026-04-06 09:39:13 | INFO     | src.main:lifespan:80 - 数据库连接池初始化成功
